ITEM   	 LEN_P 	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
pith	   3	   4	   4	  10	-1	-1	-1	-1	
placebos	   -  	   8	   0		-1	-1	-1	-1	
plaid	   4	   5	   2	  14	-1	-1	-1	-1	
plains	   5	   6	   2	   9	-1	-1	-1	-1	
planks	   6	   6	   5	   4	-1	-1	-1	-1	
plantation	   8	  10	   0	   0	-1	-1	-1	-1	
plaque	   4	   6	   1	   6	-1	-1	-1	-1	
plaques	   5	   7	   1	   5	-1	-1	-1	-1	
plasterer	   -  	   9	   1		-1	-1	-1	-1	
plates	   5	   6	   4	   9	-1	-1	-1	-1	
platitude	   9	   9	   0	   2	-1	-1	-1	-1	
platitudes	  10	  10	   0	   2	-1	-1	-1	-1	
platypus	   8	   8	   0	   0	-1	-1	-1	-1	
playhouses	   -  	  10	   0		-1	-1	-1	-1	
pleas	   4	   5	   3	  13	-1	-1	-1	-1	
pleasantry	   8	  10	   1	   1	-1	-1	-1	-1	
pleat	   4	   5	   4	  12	-1	-1	-1	-1	
pleats	   5	   6	   2	   5	-1	-1	-1	-1	
plebeians	   -  	   9	   0		-1	-1	-1	-1	
plebiscite	   -  	  10	   0		-1	-1	-1	-1	
pleiades	   -  	   8	   0		-1	-1	-1	-1	
plethora	   7	   8	   0	   0	-1	-1	-1	-1	
plight	   4	   6	   4	  11	 620	-1	 226	-1	
plott	   -  	   5	   1		-1	-1	-1	-1	
ploughs	   4	   7	   0	   8	-1	-1	-1	-1	
ploy	   3	   4	   4	   5	 554	-1	 209	-1	
ploys	   4	   5	   2	   6	-1	-1	-1	-1	
plumes	   5	   6	   1	   5	-1	-1	-1	-1	
plums	   5	   5	   5	   7	-1	-1	-1	-1	
pneumatics	   -  	  10	   0		-1	-1	-1	-1	
pneumonia	   8	   9	   1	   0	-1	-1	-1	-1	
pocketbook	   8	  10	   0	   0	-1	-1	-1	-1	
pocketful	   -  	   9	   0		-1	-1	-1	-1	
pocks	   -  	   5	   9		-1	-1	-1	-1	
podium	   5	   6	   1	   1	-1	-1	 508	-1	
podiums	   -  	   7	   0		-1	-1	-1	-1	
pods	   4	   4	   8	  10	-1	-1	-1	-1	
poetry	   6	   6	   0	   0	 386	-1	 486	-1	
poignancy	   8	   9	   0	   0	-1	-1	-1	-1	
poisonings	   -  	  10	   0		-1	-1	-1	-1	
polaroid	   -  	   8	   0		-1	-1	-1	-1	
polaroids	   -  	   9	   0		-1	-1	-1	-1	
pole	   3	   4	  15	  28	 302	-1	 482	-1	
polemic	   7	   7	   0	   1	-1	-1	-1	-1	
polemics	   8	   8	   0	   1	-1	-1	-1	-1	
poles	   4	   5	  14	  22	-1	-1	-1	-1	
policies	   7	   8	   1	   2	-1	-1	-1	-1	
policy	   6	   6	   2	   2	-1	-1	-1	-1	
polio	   5	   5	   1	   1	-1	-1	 561	-1	
politeness	   8	  10	   0	   0	-1	-1	-1	-1	
politics	   8	   8	   1	   1	-1	-1	-1	-1	
polls	   4	   5	   7	  22	-1	-1	-1	-1	
pollutant	   8	   9	   0	   1	-1	-1	-1	-1	
pollutants	   9	  10	   0	   1	-1	-1	-1	-1	
polluter	   -  	   8	   2		-1	-1	-1	-1	
polluters	   -  	   9	   0		-1	-1	-1	-1	
pollution	   6	   9	   0	   1	-1	-1	 509	-1	
polyglot	   8	   8	   0	   0	-1	-1	-1	-1	
polygraphs	   -  	  10	   0		-1	-1	-1	-1	
polymer	   7	   7	   0	   1	-1	-1	-1	-1	
polymers	   7	   8	   0	   1	-1	-1	-1	-1	
polymorph	   -  	   9	   0		-1	-1	-1	-1	
pomp	   4	   4	   4	   5	-1	 542	-1	 352	
ponds	   5	   5	   1	   5	-1	-1	-1	-1	
pontiacs	   -  	   8	   0		-1	-1	-1	-1	
pools	   4	   5	   4	  15	-1	-1	-1	-1	
poppycock	   -  	   9	   0		-1	-1	-1	-1	
populace	   8	   8	   1	   1	-1	-1	-1	-1	
porcelain	   7	   9	   0	   0	-1	-1	-1	-1	
porch	   3	   5	   4	  17	 319	-1	 586	-1	
pore	   3	   4	  19	  28	-1	-1	 447	-1	
porpoises	   7	   9	   0	   1	-1	-1	-1	-1	
porr	   -  	   4	   8		-1	-1	-1	-1	
portables	   -  	   9	   0		-1	-1	-1	-1	
portico	   6	   7	   0	   1	-1	-1	-1	-1	
portrayal	   7	   9	   0	   0	-1	-1	-1	-1	
portrayals	   -  	  10	   0		-1	-1	-1	-1	
positives	   -  	   9	   0		-1	-1	-1	-1	
positron	   8	   8	   1	   0	-1	-1	-1	-1	
positrons	   -  	   9	   1		-1	-1	-1	-1	
possessor	   7	   9	   0	   1	-1	-1	-1	-1	
posteriors	   -  	  10	   0		-1	-1	-1	-1	
postmaster	  10	  10	   0	   0	-1	-1	-1	-1	
postmortem	   -  	  10	   0		-1	-1	-1	-1	
potatoes	   7	   8	   0	   1	-1	-1	-1	-1	
potboiler	   -  	   9	   0		-1	-1	-1	-1	
potency	   7	   7	   0	   0	-1	-1	-1	-1	
potentates	   9	  10	   0	   1	-1	-1	-1	-1	
potentials	   8	  10	   0	   1	-1	-1	-1	-1	
potpourri	   -  	   9	   0		-1	-1	-1	-1	
pottery	   6	   7	   2	   3	-1	-1	-1	-1	
poverty	   6	   7	   0	   1	-1	-1	 502	-1	
powerboat	   -  	   9	   0		-1	-1	-1	-1	
powerhouse	   -  	  10	   0		-1	-1	-1	-1	
pows	   -  	   4	  11		-1	-1	-1	-1	
pox	   4	   3	   8	  22	-1	-1	-1	-1	
pragmatist	   -  	  10	   1		-1	-1	-1	-1	
prance	   5	   6	   2	   3	-1	-1	-1	-1	
prank	   5	   5	   4	   7	-1	-1	-1	-1	
pranks	   6	   6	   3	   5	-1	-1	-1	-1	
prats	   -  	   5	   2		-1	-1	-1	-1	
prawn	   4	   5	   2	   8	-1	-1	-1	-1	
prawns	   5	   6	   0	   3	-1	-1	-1	-1	
prayer	   4	   6	   2	   4	 269	-1	 492	-1	
prayers	   4	   7	   1	   6	-1	-1	-1	-1	
preamble	   7	   8	   0	   0	-1	-1	-1	-1	
precaution	   7	  10	   0	   0	 525	-1	 367	-1	
precedence	   9	  10	   0	   1	-1	-1	-1	-1	
precedent	   9	   9	   0	   0	-1	-1	-1	-1	
precedents	  10	  10	   0	   2	-1	-1	-1	-1	
precipice	   8	   9	   0	   0	-1	-1	-1	-1	
precision	   7	   9	   0	   0	-1	-1	-1	-1	
precursor	   8	   9	   0	   1	 671	-1	 205	-1	
precursors	   8	  10	   0	   1	-1	-1	-1	-1	
predation	   -  	   9	   0		-1	-1	-1	-1	
predator	   8	   8	   0	   1	-1	-1	-1	-1	
predators	   8	   9	   1	   1	-1	-1	-1	-1	
prediction	   8	  10	   0	   0	-1	-1	-1	-1	
predictor	   -  	   9	   0		-1	-1	-1	-1	
predictors	   -  	  10	   0		-1	-1	-1	-1	
preemption	   -  	  10	   0		-1	-1	-1	-1	
prefecture	  10	  10	   0	   0	-1	-1	-1	-1	
preference	   9	  10	   0	   0	 536	-1	 281	-1	
pregnancy	   9	   9	   0	   0	-1	-1	-1	-1	
premiums	   8	   8	   0	   1	-1	-1	-1	-1	
preparer	   -  	   8	   2		-1	-1	-1	-1	
prepayment	   -  	  10	   0		-1	-1	-1	-1	
prerecord	   -  	   9	   0		-1	-1	-1	-1	
pres	   -  	   4	   5		-1	-1	-1	-1	
prescience	   7	  10	   0	   0	-1	-1	-1	-1	
preseason	   -  	   9	   0		-1	-1	-1	-1	
presenter	   9	   9	   1	   0	-1	-1	-1	-1	
presenters	   -  	  10	   0		-1	-1	-1	-1	
preserver	   -  	   9	   2		-1	-1	-1	-1	
preservers	   -  	  10	   0		-1	-1	-1	-1	
presidents	  10	  10	   0	   3	-1	-1	-1	-1	
pretenders	   -  	  10	   0		-1	-1	-1	-1	
pretenses	   -  	   9	   1		-1	-1	-1	-1	
pretension	   8	  10	   0	   2	-1	-1	-1	-1	
prevalence	   9	  10	   0	   1	-1	-1	-1	-1	
prevention	   8	  10	   0	   1	-1	-1	-1	-1	
priests	   6	   7	   0	   1	-1	-1	-1	-1	
primaries	   8	   9	   0	   1	-1	-1	-1	-1	
primroses	   9	   9	   0	   0	-1	-1	-1	-1	
princesses	   9	  10	   0	   0	-1	-1	-1	-1	
principals	   9	  10	   0	   3	-1	-1	-1	-1	
principle	   8	   9	   0	   2	 533	-1	 305	-1	
principles	   9	  10	   1	   3	-1	-1	-1	-1	
prisoner	   7	   8	   1	   1	 361	-1	 565	-1	
prisoners	   7	   9	   0	   1	-1	-1	-1	-1	
privacy	   7	   7	   1	   0	-1	-1	-1	-1	
privation	   7	   9	   0	   1	-1	-1	-1	-1	
privations	   8	  10	   0	   1	-1	-1	-1	-1	
prix	   -  	   4	   2		-1	-1	-1	-1	
prob	   -  	   4	   5		-1	-1	-1	-1	
probation	   7	   9	   0	   0	-1	-1	-1	-1	
probity	   7	   7	   0	   0	-1	-1	-1	-1	
proboscis	   -  	   9	   0		-1	-1	-1	-1	
procedure	   8	   9	   0	   1	-1	-1	-1	-1	
procedures	   8	  10	   0	   1	-1	-1	-1	-1	
procession	   7	  10	   1	   1	 414	-1	 534	-1	
processor	   -  	   9	   1		-1	-1	-1	-1	
processors	   -  	  10	   1		-1	-1	-1	-1	
proconsul	   9	   9	   0	   0	-1	-1	-1	-1	
procurer	   -  	   8	   1		-1	-1	-1	-1	
prodigal	   7	   8	   0	   0	-1	-1	-1	-1	
prodigies	   -  	   9	   0		-1	-1	-1	-1	
prodigy	   7	   7	   0	   0	-1	-1	-1	-1	
producers	   9	   9	   0	   2	-1	-1	-1	-1	
profession	   7	  10	   1	   1	-1	-1	 406	-1	
professors	   8	  10	   1	   2	-1	-1	-1	-1	
profiteer	   -  	   9	   0		-1	-1	-1	-1	
profiteers	   8	  10	   0	   0	-1	-1	-1	-1	
profs	   -  	   5	   2		-1	-1	-1	-1	
profusion	   8	   9	   0	   0	-1	-1	-1	-1	
progeny	   7	   7	   0	   0	-1	-1	-1	-1	
prognosis	   9	   9	   0	   0	-1	-1	-1	-1	
programmer	   9	  10	   2	   0	-1	 633	-1	 416	
projectile	   9	  10	   1	   0	 597	-1	 486	-1	
projection	   8	  10	   1	   1	-1	-1	-1	-1	
projector	   9	   9	   1	   2	-1	-1	 584	-1	
projectors	   9	  10	   1	   2	-1	-1	-1	-1	
prolactin	   -  	   9	   0		-1	-1	-1	-1	
prom	   -  	   4	   8		-1	-1	-1	-1	
prominence	   9	  10	   0	   1	-1	-1	-1	-1	
promoter	   8	   8	   3	   1	-1	-1	-1	-1	
promoters	   8	   9	   0	   1	-1	-1	-1	-1	
promotion	   7	   9	   0	   1	-1	-1	 367	-1	
promotions	   8	  10	   0	   1	-1	-1	-1	-1	
proms	   5	   5	   2	   2	-1	-1	-1	-1	
prong	   4	   5	   2	   7	 439	-1	 499	-1	
prongs	   5	   6	   1	   4	-1	-1	-1	-1	
proofs	   5	   6	   0	   3	-1	-1	-1	-1	
propellant	   -  	  10	   0		-1	-1	-1	-1	
propeller	   8	   9	   1	   1	-1	-1	 599	-1	
propellers	   8	  10	   0	   1	-1	-1	-1	-1	
properties	   8	  10	   1	   2	-1	-1	-1	-1	
property	   7	   8	   1	   3	 447	-1	 466	-1	
prophecies	   8	  10	   0	   3	-1	-1	-1	-1	
prophetess	   -  	  10	   0		-1	-1	-1	-1	
proponent	   9	   9	   0	   1	-1	-1	-1	-1	
proponents	  10	  10	   0	   1	-1	-1	-1	-1	
proposal	   7	   8	   0	   1	-1	-1	-1	-1	
proposals	   8	   9	   0	   2	-1	-1	-1	-1	
propulsion	   8	  10	   0	   0	-1	-1	-1	-1	
pros	   4	   4	   4	  13	-1	-1	-1	-1	
prose	   4	   5	   4	  13	 626	-1	 283	-1	
prospectus	  10	  10	   0	   1	-1	-1	-1	-1	
prosthesis	   -  	  10	   0		-1	-1	-1	-1	
protectee	   -  	   9	   1		-1	-1	-1	-1	
protectors	   9	  10	   1	   2	-1	-1	-1	-1	
protege	   7	   7	   0	   2	-1	-1	-1	-1	
proteges	   8	   8	   1	   1	-1	-1	-1	-1	
protester	   -  	   9	   1		-1	-1	-1	-1	
protesters	   9	  10	   0	   0	-1	-1	-1	-1	
protestors	   -  	  10	   2		-1	-1	-1	-1	
protocol	   8	   8	   0	   1	-1	-1	 258	-1	
protocols	   9	   9	   0	   1	-1	-1	-1	-1	
prototype	   8	   9	   0	   1	-1	-1	-1	-1	
prototypes	   9	  10	   0	   1	-1	-1	-1	-1	
provenance	   9	  10	   0	   0	-1	-1	-1	-1	
provider	   8	   8	   2	   1	-1	-1	-1	-1	
providers	   8	   9	   0	   1	-1	-1	-1	-1	
provinces	   9	   9	   0	   0	-1	-1	-1	-1	
provision	   7	   9	   0	   1	 508	-1	 343	-1	
provisions	   8	  10	   0	   1	-1	-1	-1	-1	
proviso	   7	   7	   0	   0	-1	-1	-1	-1	
provisos	   -  	   8	   0		-1	-1	-1	-1	
prow	   3	   4	   7	   7	 583	-1	 307	-1	
prude	   4	   5	   3	  14	-1	-1	-1	-1	
prudery	   7	   7	   0	   0	-1	-1	-1	-1	
psalm	   3	   5	   0	  10	-1	-1	 427	-1	
psalms	   4	   6	   0	  11	-1	-1	-1	-1	
pseudonym	   8	   9	   0	   1	-1	-1	-1	-1	
pseudonyms	   9	  10	   0	   1	-1	-1	-1	-1	
psi	   -  	   3	   1		-1	-1	-1	-1	
psychopath	   7	  10	   0	   0	-1	-1	-1	-1	
pub	   3	   3	  11	  15	-1	-1	-1	-1	
puberty	   7	   7	   0	   0	-1	-1	-1	-1	
publicist	   9	   9	   0	   1	-1	-1	-1	-1	
publicists	  10	  10	   0	   1	-1	-1	-1	-1	
publisher	   8	   9	   2	   1	-1	-1	-1	-1	
publishers	   8	  10	   0	   2	-1	-1	-1	-1	
pubs	   4	   4	   8	   7	-1	-1	-1	-1	
puffery	   -  	   7	   0		-1	-1	-1	-1	
pugilist	   -  	   8	   0		-1	-1	-1	-1	
pulse	   4	   5	   1	   5	 446	-1	 433	-1	
pummeling	   -  	   9	   0		-1	-1	-1	-1	
punks	   5	   5	   3	   6	-1	-1	-1	-1	
punts	   -  	   5	   7		-1	-1	-1	-1	
puppeteers	   -  	  10	   0		-1	-1	-1	-1	
puppetry	   -  	   8	   0		-1	-1	-1	-1	
purchaser	   7	   9	   2	   1	-1	-1	-1	-1	
purchases	   7	   9	   2	   3	-1	-1	-1	-1	
puritan	   8	   7	   0	   1	-1	-1	-1	-1	
puritans	   9	   8	   0	   2	-1	-1	-1	-1	
purity	   7	   6	   2	   0	-1	-1	-1	-1	
pursuer	   7	   7	   2	   1	-1	-1	-1	-1	
pursuers	   7	   8	   0	   1	-1	-1	-1	-1	
purveyor	   6	   8	   1	   1	-1	-1	-1	-1	
purveyors	   -  	   9	   1		-1	-1	-1	-1	
pus	   3	   3	   7	  20	-1	-1	-1	-1	
pussyfoot	   -  	   9	   0		-1	-1	-1	-1	
putsch	   3	   6	   0	  11	-1	-1	-1	-1	
putterer	   -  	   8	   0		-1	-1	-1	-1	
puzzlement	   8	  10	   0	   0	-1	-1	-1	-1	
pyramids	   8	   8	   0	   1	-1	-1	-1	-1	
quackery	   -  	   8	   0		-1	-1	-1	-1	
quads	   -  	   5	   0		-1	-1	-1	-1	
qualities	   8	   9	   1	   1	-1	-1	-1	-1	
quality	   7	   7	   1	   1	-1	-1	 349	-1	
qualms	   5	   6	   0	   2	-1	-1	-1	-1	
quandaries	   -  	  10	   0		-1	-1	-1	-1	
quandary	   8	   8	   0	   0	-1	-1	-1	-1	
quantities	   9	  10	   0	   1	-1	-1	-1	-1	
quantity	   8	   8	   1	   1	 419	-1	 349	-1	
quart	   4	   5	   0	   8	-1	-1	 545	-1	
quarts	   5	   6	   2	   5	-1	-1	-1	-1	
quartz	   5	   6	   2	   5	-1	-1	-1	-1	
quay	   2	   4	   0	  20	-1	-1	-1	-1	
queasiness	   -  	  10	   0		-1	-1	-1	-1	
questioner	   9	  10	   1	   0	-1	-1	-1	-1	
quests	   6	   6	   1	   2	-1	-1	-1	-1	
queues	   4	   6	   1	  19	-1	-1	-1	-1	
quid	   4	   4	   3	   8	-1	-1	-1	-1	
quietness	   8	   9	   0	   0	-1	-1	-1	-1	
quilt	   5	   5	   5	   7	-1	 542	-1	 347	
quilts	   6	   6	   1	   4	-1	-1	-1	-1	
quince	   -  	   6	   0		-1	-1	-1	-1	
quints	   -  	   6	   1		-1	-1	-1	-1	
quirk	   4	   5	   1	   6	-1	-1	-1	-1	
quirks	   5	   6	   1	   4	-1	-1	-1	-1	
quotation	   7	   9	   0	   1	-1	-1	-1	-1	
quotations	   8	  10	   0	   1	-1	-1	-1	-1	
racism	   7	   6	   1	   0	-1	-1	-1	-1	
racketeers	   7	  10	   0	   0	-1	-1	-1	-1	
racks	   4	   5	  12	  24	-1	-1	-1	-1	
raconteur	   -  	   9	   0		-1	-1	-1	-1	
radials	   -  	   7	   0		-1	-1	-1	-1	
radiance	   7	   8	   0	   1	-1	-1	-1	-1	
radicals	   7	   8	   0	   1	-1	-1	-1	-1	
radishes	   7	   8	   0	   0	-1	-1	-1	-1	
radius	   5	   6	   1	   0	-1	-1	-1	-1	
raft	   4	   4	   5	  12	-1	-1	-1	-1	
rafts	   5	   5	   1	   5	-1	-1	-1	-1	
rags	   4	   4	  16	  16	-1	-1	-1	-1	
rainforest	   -  	  10	   0		-1	-1	-1	-1	
rainmaker	   -  	   9	   0		-1	-1	-1	-1	
rainwater	   8	   9	   0	   0	-1	-1	-1	-1	
rales	   -  	   5	  15		-1	-1	-1	-1	
ramadan	   -  	   7	   0		-1	-1	-1	-1	
ramp	   4	   4	   8	  15	-1	-1	 527	-1	
rampages	   -  	   8	   0		-1	-1	-1	-1	
ramps	   5	   5	   2	   8	-1	-1	-1	-1	
randomness	   9	  10	   0	   0	-1	-1	-1	-1	
rands	   5	   5	   9	   9	-1	-1	-1	-1	
rapier	   6	   6	   0	   0	-1	-1	-1	-1	
rarity	   6	   6	   1	   1	 550	-1	 270	-1	
rath	   -  	   4	   9		-1	-1	-1	-1	
ratio	   5	   5	   2	   2	-1	 544	-1	 263	
rationale	   7	   9	   0	   0	-1	-1	-1	-1	
ratios	   6	   6	   2	   2	-1	-1	-1	-1	
rattler	   -  	   7	   2		-1	-1	-1	-1	
rays	   3	   4	  11	  34	-1	-1	-1	-1	
razorback	   -  	   9	   0		-1	-1	-1	-1	
razorbacks	   -  	  10	   0		-1	-1	-1	-1	
rea	   -  	   3	  10		-1	-1	-1	-1	
reaction	   6	   8	   0	   1	 506	-1	 395	-1	
reactions	   7	   9	   0	   1	-1	-1	-1	-1	
reactors	   7	   8	   1	   1	-1	-1	-1	-1	
readership	   7	  10	   1	   1	-1	-1	-1	-1	
readiness	   7	   9	   0	   0	-1	-1	-1	-1	
reagents	   -  	   8	   0		-1	-1	-1	-1	
realestate	   -  	  10	   0		-1	-1	-1	-1	
realism	   7	   7	   1	   0	-1	-1	-1	-1	
realist	   6	   7	   1	   1	-1	-1	-1	-1	
realists	   7	   8	   0	   1	-1	-1	-1	-1	
realm	   4	   5	   1	   3	 561	-1	 324	-1	
realms	   5	   6	   0	   2	-1	-1	-1	-1	
realtor	   -  	   7	   1		-1	-1	-1	-1	
realtors	   6	   8	   1	   0	-1	-1	-1	-1	
rebellion	   8	   9	   0	   2	-1	-1	-1	-1	
rebellions	   9	  10	   1	   1	-1	-1	-1	-1	
rebuttal	   6	   8	   0	   0	-1	-1	-1	-1	
rebuttals	   -  	   9	   0		-1	-1	-1	-1	
receiver	   7	   8	   3	   2	-1	-1	 504	-1	
receivers	   7	   9	   0	   1	-1	-1	-1	-1	
reception	   7	   9	   1	   3	-1	-1	-1	-1	
receptions	   8	  10	   1	   2	-1	-1	-1	-1	
receptor	   -  	   8	   0		-1	-1	-1	-1	
receptors	   -  	   9	   0		-1	-1	-1	-1	
recesses	   7	   8	   1	   2	-1	-1	-1	-1	
recession	   6	   9	   1	   2	-1	-1	-1	-1	
recipe	   6	   6	   1	   1	-1	-1	-1	-1	
recipes	   7	   7	   0	   1	-1	-1	-1	-1	
recital	   6	   7	   0	   1	-1	-1	 495	-1	
recitals	   7	   8	   0	   1	-1	-1	-1	-1	
reclaimer	   -  	   9	   1		-1	-1	-1	-1	
recliner	   -  	   8	   1		-1	-1	-1	-1	
recorder	   7	   8	   1	   1	-1	-1	-1	-1	
recorders	   7	   9	   0	   1	-1	-1	-1	-1	
recordings	   8	  10	   0	   1	-1	-1	-1	-1	
recovery	   8	   8	   1	   2	-1	-1	-1	-1	
recruiter	   -  	   9	   1		-1	-1	-1	-1	
recruiters	   -  	  10	   0		-1	-1	-1	-1	
rectangle	   8	   9	   0	   1	-1	-1	 590	-1	
rectangles	   9	  10	   0	   1	-1	-1	-1	-1	
rectitude	   9	   9	   0	   0	-1	-1	-1	-1	
rectory	   7	   7	   0	   0	-1	-1	-1	-1	
recurrence	   8	  10	   0	   1	-1	-1	-1	-1	
redemption	   8	  10	   0	   0	-1	-1	-1	-1	
reds	   4	   4	   3	  14	-1	-1	-1	-1	
reduction	   7	   9	   2	   3	 508	-1	 332	-1	
reductions	   8	  10	   2	   3	-1	-1	-1	-1	
reeds	   4	   5	  10	  15	-1	-1	-1	-1	
reef	   3	   4	   4	  15	 520	-1	 485	-1	
reefs	   4	   5	   3	   5	-1	-1	-1	-1	
reentry	   -  	   7	   0		-1	-1	-1	-1	
ref	   3	   3	   4	  12	-1	-1	-1	-1	
referees	   7	   8	   0	   1	-1	-1	-1	-1	
referral	   -  	   8	   0		-1	-1	-1	-1	
referrals	   -  	   9	   0		-1	-1	-1	-1	
refinement	   9	  10	   0	   0	 550	-1	 375	-1	
refiner	   -  	   7	   1		-1	-1	-1	-1	
reflection	   8	  10	   1	   1	-1	-1	 567	-1	
reflector	   9	   9	   0	   1	-1	-1	-1	-1	
reflectors	   9	  10	   0	   1	-1	-1	-1	-1	
reflexes	   9	   8	   0	   0	-1	-1	-1	-1	
reflexive	   9	   9	   0	   1	-1	-1	-1	-1	
refocus	   -  	   7	   0		-1	-1	-1	-1	
reformer	   7	   8	   1	   1	-1	-1	-1	-1	
reformers	   7	   9	   0	   1	-1	-1	-1	-1	
refractor	   -  	   9	   0		-1	-1	-1	-1	
refresher	   8	   9	   1	   0	-1	-1	-1	-1	
refugee	   7	   7	   1	   1	-1	-1	-1	-1	
refugees	   8	   8	   0	   1	-1	-1	-1	-1	
refusal	   7	   7	   0	   1	-1	-1	-1	-1	
refusals	   8	   8	   0	   2	-1	-1	-1	-1	
regalia	   7	   7	   0	   0	-1	-1	-1	-1	
regimen	   7	   7	   1	   1	-1	-1	-1	-1	
regimens	   -  	   8	   1		-1	-1	-1	-1	
regiments	   9	   9	   0	   1	-1	-1	-1	-1	
registrar	   9	   9	   0	   0	-1	-1	-1	-1	
registries	   -  	  10	   0		-1	-1	-1	-1	
registry	   8	   8	   0	   0	-1	-1	-1	-1	
regression	   7	  10	   1	   1	-1	-1	-1	-1	
rehearsals	   7	  10	   0	   2	-1	-1	-1	-1	
reins	   4	   5	   3	  22	-1	-1	-1	-1	
reinvite	   -  	   8	   0		-1	-1	-1	-1	
rejection	   7	   9	   1	   3	-1	-1	-1	-1	
rejections	   8	  10	   0	   1	-1	-1	-1	-1	
rejoinder	   8	   9	   0	   0	-1	-1	-1	-1	
relations	   7	   9	   0	   1	-1	-1	-1	-1	
relatives	   8	   9	   0	   1	-1	-1	-1	-1	
relenting	   8	   9	   1	   2	-1	-1	-1	-1	
relevance	   8	   9	   0	   1	-1	-1	-1	-1	
reliance	   7	   8	   0	   1	-1	-1	-1	-1	
religion	   7	   8	   0	   2	-1	 383	 434	-1	
religions	   8	   9	   1	   1	-1	-1	-1	-1	
reluctance	   9	  10	   0	   1	-1	-1	-1	-1	
rem	   -  	   3	  10		-1	-1	-1	-1	
remainder	   8	   9	   0	   1	-1	-1	-1	-1	
remarriage	   7	  10	   0	   2	-1	-1	-1	-1	
remedies	   7	   8	   1	   2	-1	-1	-1	-1	
reminder	   8	   8	   1	   2	-1	-1	 328	-1	
reminders	   8	   9	   0	   1	-1	-1	-1	-1	
remission	   6	   9	   0	   1	-1	-1	-1	-1	
remittance	   8	  10	   0	   0	 594	-1	 337	-1	
remoteness	   8	  10	   0	   0	-1	-1	-1	-1	
removal	   6	   7	   0	   0	 406	-1	 391	-1	
removals	   -  	   8	   0		-1	-1	-1	-1	
remover	   7	   7	   4	   1	-1	 487	-1	 403	
renderings	   -  	  10	   0		-1	-1	-1	-1	
rendition	   7	   9	   0	   0	-1	-1	-1	-1	
renditions	   -  	  10	   0		-1	-1	-1	-1	
renegade	   7	   8	   0	   0	-1	-1	-1	-1	
renegades	   -  	   9	   0		-1	-1	-1	-1	
renewal	   7	   7	   0	   1	-1	-1	-1	-1	
renewals	   8	   8	   0	   1	-1	-1	-1	-1	
reorder	   -  	   7	   0		-1	-1	-1	-1	
rep	   3	   3	   8	  14	-1	-1	-1	-1	
repairman	   -  	   9	   1		-1	-1	-1	-1	
repairmen	   -  	   9	   1		-1	-1	-1	-1	
repartee	   6	   8	   0	   0	-1	-1	-1	-1	
repayment	   8	   9	   0	   1	-1	-1	-1	-1	
repayments	   9	  10	   0	   1	-1	-1	-1	-1	
repeater	   7	   8	   1	   1	-1	-1	-1	-1	
repeaters	   -  	   9	   0		-1	-1	-1	-1	
repertoire	   8	  10	   0	   0	-1	-1	-1	-1	
replica	   7	   7	   0	   1	-1	-1	-1	-1	
replicas	   8	   8	   0	   1	-1	-1	-1	-1	
reporters	   7	   9	   0	   1	-1	-1	-1	-1	
repression	   7	  10	   2	   2	-1	 611	-1	 234	
reprimands	   -  	  10	   0		-1	-1	-1	-1	
reprisal	   7	   8	   0	   1	 639	-1	 294	-1	
reprisals	   8	   9	   0	   1	-1	-1	-1	-1	
reps	   4	   4	   3	   6	-1	-1	-1	-1	
reptilians	   -  	  10	   0		-1	-1	-1	-1	
republics	   9	   9	   0	   2	-1	-1	-1	-1	
repurchase	   -  	  10	   0		-1	-1	-1	-1	
requester	   -  	   9	   1		-1	-1	-1	-1	
rescission	   -  	  10	   0		-1	-1	-1	-1	
rescuer	   7	   7	   2	   1	-1	-1	-1	-1	
rescuers	   7	   8	   0	   2	-1	-1	-1	-1	
researcher	   7	  10	   2	   0	-1	 598	-1	 475	
resentment	  10	  10	   0	   0	 539	-1	 352	-1	
reservists	   9	  10	   0	   0	-1	-1	-1	-1	
reservoir	   8	   9	   0	   1	-1	-1	-1	-1	
reservoirs	   8	  10	   0	   1	-1	-1	-1	-1	
reshuffle	   6	   9	   0	   0	-1	-1	-1	-1	
residence	   8	   9	   0	   2	-1	-1	-1	-1	
residents	   9	   9	   0	   4	-1	-1	-1	-1	
residue	   7	   7	   0	   1	-1	-1	 487	-1	
residues	   8	   8	   0	   1	-1	-1	-1	-1	
resistance	   9	  10	   0	   1	 503	-1	 416	-1	
resistors	   8	   9	   0	   1	-1	-1	-1	-1	
resonance	   8	   9	   0	   1	-1	-1	-1	-1	
resources	   7	   9	   0	   1	-1	-1	-1	-1	
respondent	  10	  10	   1	   1	-1	-1	-1	-1	
responder	   -  	   9	   1		-1	-1	-1	-1	
responders	   -  	  10	   0		-1	-1	-1	-1	
responses	   9	   9	   0	   1	-1	-1	-1	-1	
restaurant	   8	  10	   0	   0	-1	-1	 611	-1	
restorer	   -  	   8	   2		-1	-1	-1	-1	
resumption	   8	  10	   0	   0	 603	-1	 264	-1	
resurgence	   8	  10	   0	   1	-1	-1	-1	-1	
ret	   3	   3	  18	  30	-1	-1	-1	-1	
retailer	   7	   8	   1	   1	-1	-1	 445	-1	
retailers	   7	   9	   1	   1	-1	-1	-1	-1	
